"nome";"classif";"ipa0710";"ipa0713";"ipa0716";"ipa1013";"ipa1016";"ipa1316";"d7";"d10";"d13";"d16";"d7.95";"d10.95";"d13.95";"d16.95";"n.d7";"n.d10";"n.d13";"n.d16";"n.0710";"n.0713";"n.0716";"n.1013";"n.1016";"n.1316"
"Gymklo";"Si";0,276842105263158;0,293157894736842;0,280526315789474;0,307916666666667;0,32875;0,340740740740741;14,9036842105263;15,7321052631579;15,8225925925926;16,8448148148148;20,793;22,813;23,188;24,096;19;24;27;30;19;19;19;24;24;27
"Hovdul";"Exótica";1,96;1,92;1,7;1,88;1,57;1,26;21,01;26,9;32,53;36,32;21,01;26,9;32,53;36,32;1;1;1;1;1;1;1;1;1;1
"Iledum";"Si";0,16;0,28;0,31;0,4;0,39;0,38;10,03;10,5;11,71;12,86;10,03;10,5;11,71;12,86;1;1;1;1;1;1;1;1;1;1
"Ilepar";"St";NA;NA;NA;0,66;0,67;0,69;NA;NA;13,72;15,79;NA;NA;13,72;15,79;NA;1;1;1;NA;NA;NA;1;1;1
"Ingvir";"Si";0,41;0,4;0,38;0,38;0,37;0,35;18,37;19,61;20,75;21,8;18,37;19,61;20,75;21,8;1;1;1;1;1;1;1;1;1;1
"Jacpub";"Si";0,155121951219512;0,146829268292683;0,139;0,133571428571429;0,13219512195122;0,128292682926829;14,9109756097561;15,3756097560976;15,7256097560976;16,1114634146341;22,85;22,6;22,98;22,98;41;42;42;41;41;41;40;42;41;41
"Lamter";"P";0,464;0,448;0,442;0,428;0,432;0,436;13,764;15,16;16,444;17,75;16,056;17,864;19,694;22,366;5;5;5;5;5;5;5;5;5;5
"Ligluc";"Exótica";1,63;1,18;1,08;0,87;0,846666666666667;0,826666666666667;20,09;24,99;18,09;20,5633333333333;20,09;24,99;26,066;28,855;1;3;3;4;1;1;1;3;3;3
"Litbra";"P";0,238;0,5375;0,4475;0,7725;0,5225;0,275;18,6;19,314;23,6575;24,485;27,568;28,282;30,278;31,053;5;5;4;4;5;4;4;4;4;4
"Luediv";"P";0,217857142857143;0,200357142857143;0,214444444444444;0,18;0,203965517241379;0,215333333333333;17,2721428571429;17,925;17,1786666666667;17,8258333333333;44,1375;44,5425;41,5195;42,714;56;60;62;62;56;56;54;60;58;60
"Macbra";"Si";0,323846153846154;0,324615384615385;0,341666666666667;0,329230769230769;0,338333333333333;0,331666666666667;12,9423076923077;13,9123076923077;15,255;16,2516666666667;17,634;18,264;19,548;20,5105;13;13;13;13;13;13;12;13;12;12
"Macsti";"Si";0,42;0,366666666666667;0,423333333333333;0,24;0,34;0,44;23,3533333333333;24,6166666666667;21,8125;23,135;34,347;34,98;34,2005;35,4885;3;4;4;5;3;3;3;4;4;4
"Matela";"St";0,322;0,308;0,290526315789474;0,285909090909091;0,266190476190476;0,23047619047619;19,458;20,4225;20,9104761904762;21,6047619047619;46,404;46,4835;46,66;46,79;20;22;22;21;20;20;19;22;21;21
"Mayevo";"St";0,135;0,375;0,26;0,466666666666667;0,263333333333333;0,1075;14,085;14,48;13,4025;13,7275;15,3855;15,713;16,89;16,9185;2;3;4;4;2;2;2;3;3;4
"Myrcor";"P";0,366666666666667;0,371666666666667;0,391666666666667;0,375;0,408333333333333;0,44;15,3633333333333;16,4616666666667;17,5916666666667;18,91;23,36;24,32;25,02;26,01;6;6;6;6;6;6;6;6;6;6
"Myrgar";"P";0,0773333333333333;0,0726666666666667;0,068;0,0646666666666667;0,048;0,028;11,8506666666667;12,0853333333333;11,761;11,846;13,29;13,429;12,889;13,0075;15;15;15;10;15;15;10;15;10;10
"Myrhat";"C";0,0946153846153846;0,110416666666667;0,103333333333333;0,1156;0,102;0,0868;21,2126923076923;21,4988461538462;21,668;21,9288;32,2;32,3675;33,692;33,852;26;27;25;25;26;24;24;25;25;25
